id,age,gender,activities,bike,run,swim,other,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,1m_peak_wpk,5m_peak_wpk,10m_peak_wpk,20m_peak_wpk,30m_peak_wpk,20s_peak,20s_peak_wpk,60s_peak,60s_peak_wpk,180s_peak,180s_peak_wpk,240s_peak,240s_peak_wpk,420s_peak,420s_peak_wpk,720s_peak,720s_peak_wpk,weightkg, weightstd
ad44b530-b293-42b1-a318-ab891a3f642b,50,M,312,238,3,0,71,745.919,515.65487,304.64167,273.43889,270.63667,236.67292,227.21819,216.43667,201.46139,5.01088,3.75884,3.15581,3.00606,2.79807,516,7.166666666666667,361,5.013888888888889,273,3.7916666666666665,277,3.8472222222222223,244,3.388888888888889,225,3.125,72.0,0.0
0aa1e908-524b-4504-841e-0289a11709d3,-67,M,553,548,0,0,5,2711.0,1142.46667,580.99167,504.28889,465.90667,420.08958,417.28333,376.09,364.54056,10.23689,6.21209,5.56378,5.01453,4.86054,1031,13.746666666666666,768,10.24,504,6.72,466,6.213333333333333,425,5.666666666666667,407,5.426666666666667,75.0,0.0
7cf5599f-bf2f-4603-abff-a206439229b5,55,M,191,163,3,0,25,968.0,608.93333,344.59167,327.71667,292.03,275.23542,275.92167,256.72333,238.00667,6.79289,4.29456,4.05767,3.77534,3.5001,577,8.485294117647058,462,6.794117647058823,328,4.823529411764706,315,4.632352941176471,277,4.073529411764706,260,3.823529411764706,68.0,0.0
61853aab-16ee-4acb-9e7b-7113ccf9061c,50,M,14,0,14,0,0,778.113,652.7394,321.47624,279.03795,254.11957,222.91986,217.60937,193.73593,188.44991,5.30961,3.00023,2.56918,2.28732,2.22491,623,7.355371900826446,450,5.312868949232586,279,3.293978748524203,265,3.1286894923258557,230,2.715466351829988,212,2.5029515938606846,84.70000000000002,1.4747300885539142e-14
e9f04991-09dd-49e7-bfc1-0ac13a25e309,34,M,647,121,246,107,173,903.0,741.53333,328.54167,282.61111,276.77667,260.39167,259.57667,246.06917,216.86389,5.89574,4.16206,3.90341,3.70029,3.26111,698,10.496240601503759,392,5.894736842105263,283,4.2556390977443606,280,4.2105263157894735,261,3.924812030075188,253,3.8045112781954886,66.49860896445131,0.02039653600796256
b035580e-f6ac-43da-bdf1-cdcd94be699a,18,M,536,532,0,0,4,2672.0,566.8,320.63333,306.83889,276.87,260.4625,251.13833,231.43,218.40056,5.198,3.6916,3.34851,3.08573,2.91201,549,7.32,390,5.2,307,4.093333333333334,294,3.92,259,3.453333333333333,246,3.28,75.0,0.0
d52ea5a4-33e5-4948-8440-621ad5a17a69,38,M,267,267,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10449438202248,0.982085028288217
6a2c6e8d-5671-4011-964c-5c2b8dc80e78,41,M,458,325,56,0,77,1060.0,827.0,398.55,340.15556,329.46333,287.1375,281.60333,275.0125,248.76889,7.86565,4.72074,4.12806,4.05176,3.6423,754,10.927536231884059,544,7.872648335745297,340,4.874074074074074,330,4.770370370370371,306,4.573991031390134,278,4.112426035502959,68.74978165938865,1.0281859044902466
ac0d942f-2de4-4509-b305-cbc2df262d75,50,M,887,879,0,0,8,829.0,636.6,349.86667,317.46111,270.51,251.82917,245.22,230.91583,219.55667,5.89376,3.86502,3.50368,3.2993,3.137,615,8.787057450210247,413,5.900901995019239,317,4.529263758888859,292,4.172066301563239,253,3.614838268135272,237,3.3862318954468753,69.98929999999997,2.8437744246590963e-14
5404e16a-e666-471b-9ef4-ed78821f217c,18,M,55,55,0,0,0,1392.0,916.2,392.99167,372.43889,362.3,338.54583,318.84333,314.79167,287.25611,6.95736,4.70519,4.14082,4.0882,3.7306,878,11.402597402597403,536,6.961038961038961,372,4.8311688311688314,365,4.740259740259741,344,4.467532467532467,317,4.116883116883117,77.0,0.0
f1f9d0aa-cce3-4845-8b69-d3f647c6bcdf,-72,M,47,47,0,0,0,1110.0,551.66667,250.85,243.28333,226.16,210.65,204.08333,188.09667,189.875,4.01511,3.01547,2.72111,2.50796,2.53167,496,6.613333333333333,301,4.013333333333334,243,3.24,235,3.1333333333333333,215,2.8666666666666667,200,2.6666666666666665,75.0,0.0
8417b0cd-6f61-4906-b47e-32de3f4d4748,35,M,384,146,152,83,3,1114.0,570.2,422.34583,407.86667,400.86333,391.52083,386.83667,370.32792,361.1125,6.09339,5.55982,5.36528,5.13631,5.0085,538,7.359781121751027,439,6.088765603328711,408,5.658807212205271,404,5.603328710124827,395,5.478502080443828,382,5.298196948682386,73.31432291666665,0.9518858894991051
